,cv_mean,cv_std,algorithm
0,0.889588775739883,0.009764638409015487,SVC
1,0.7322731582214159,0.014127755258536002,DecisionTreeCla
2,0.8870009753701973,0.008855157852922062,RandomForestCla
3,0.8918048441112877,0.011141763011147273,ExtraTreesCla
4,0.8847801324593652,0.01123130734674977,GradientBoostingCla
5,0.8659520772656896,0.02003700511151048,KNN
6,0.8740783433712341,0.005849235341406739,LR
7,0.8807210918689595,0.010311292249785584,LinearDiscrimiAna
8,0.878506387651677,0.008146522832279256,MLPClassifier
9,0.8892136333562967,0.00945333659017911,XGBClassifier
10,0.8877383006732101,0.00814455837635611,LGBMClassifier
