,datasetName,accuracy,precision,recall,f1,precision_macro,recall_macro,f1_macro
0,cora,0.8690036900369004,0.8693366481884776,0.8690036900369004,0.8687551961228175,0.8614530132197024,0.856848132060356,0.8587354946531135
1,citeseer,0.6906906906906907,0.686977782248876,0.6906906906906907,0.6856253807906025,0.6568747649755715,0.6535443249562533,0.6519174138240343
2,pubmed,0.8194726166328601,0.8216530668206579,0.8194726166328601,0.8200387196094082,0.8056386309113002,0.8142199577465995,0.8093035757421693
3,amazon_cs,0.7066521264994547,0.7001130061009091,0.7066521264994547,0.7007085384571852,0.6460680592670948,0.6211919003147686,0.6284597790011061
4,dblp,0.8024830699774267,0.8017047401406423,0.8024830699774267,0.8013998717755768,0.7585329789639734,0.741753486907192,0.749169493371236
5,twitch,0.5266479663394109,0.5157694601531451,0.5266479663394109,0.5143459109267896,0.5108974911249401,0.5098063772264632,0.5033268919682454
6,uai,0.6302931596091205,0.6291920865783506,0.6302931596091205,0.6283099082439366,0.5736098163729855,0.6287739080477771,0.5926334748379155
