,datasetName,accuracy,precision,recall,f1,precision_macro,recall_macro,f1_macro
0,cora,0.8487084870848709,0.8495053049281469,0.8487084870848709,0.8488647037060076,0.8361216745350235,0.8410222771003756,0.838182937211007
1,citeseer,0.7117117117117117,0.7133242343398521,0.7117117117117117,0.7068877201126956,0.7022393615939849,0.6789654912787202,0.6830963911589533
2,pubmed,0.8184584178498986,0.819841849788,0.8184584178498986,0.81880909488944,0.8039488347213376,0.8095868572659155,0.8064093925403343
3,amazon_cs,0.7211922937113777,0.7151183669099288,0.7211922937113777,0.7135147062033682,0.6639344619483962,0.6297325902797717,0.638165412317421
4,dblp,0.8064334085778782,0.8076605705082965,0.8064334085778782,0.8066231879011911,0.7629981044965906,0.7515452410707677,0.7566238976285135
5,twitch,0.5182328190743338,0.5091786999666995,0.5182328190743338,0.5095035078329073,0.5040550511693561,0.5037690839694656,0.49962382224183555
6,uai,0.6335504885993485,0.6376584542698738,0.6335504885993485,0.6331400264538743,0.5723400028842726,0.6427161089142321,0.5862651026178591
