,cv_mean,cv_std,algorithm
0,0.684442245857037,0.008413087983496399,DecisionTreeCla
1,0.8650424602193091,0.009258195512087085,RandomForestCla
2,0.8753194822326655,0.008007236492417748,ExtraTreesCla
3,0.8521930909390717,0.018002898965257176,GradientBoostingCla
4,0.8502555857861325,0.0077962591297336525,KNN
5,0.8631111385934538,0.013573926644409725,LR
6,0.8688947975925467,0.00238950276761675,LinearDiscrimiAna
7,0.8695399455849617,0.012604958811553145,MLPClassifier
8,0.861175694616209,0.009052878878405423,XGBClassifier
9,0.8669696594937752,0.015671682006950988,LGBMClassifier
