,datasetName,accuracy,precision,recall,f1,precision_macro,recall_macro,f1_macro
0,cora,0.8450184501845018,0.8465875205749979,0.8450184501845018,0.8450449481436724,0.8290505354860114,0.8403720077319399,0.8337117664398045
1,citeseer,0.7822822822822822,0.778907383187302,0.7822822822822822,0.7786682620343048,0.7601109715917018,0.7510728235847477,0.7531581586912023
2,pubmed,0.8440669371196755,0.8454145982633758,0.8440669371196755,0.8443378613264796,0.8340729642402843,0.8417320101533236,0.8374439389192592
3,amazon_cs,0.8873137041075972,0.8881352942738419,0.8873137041075972,0.8873338750729752,0.8769536412079892,0.8749511025306294,0.8752176826623586
4,dblp,0.8462189616252822,0.8478123985248052,0.8462189616252822,0.8469427267076685,0.8027481839019985,0.8063741178482577,0.804488970178078
5,twitch,0.561711079943899,0.5547645204492655,0.561711079943899,0.5530118822326953,0.5510630690397162,0.5471274650127227,0.5437412043798796
6,uai,0.6921824104234527,0.6989449157237537,0.6921824104234527,0.692451368659319,0.6417171693042528,0.6932908715274241,0.6554125172351581
