,datasetName,accuracy,precision,recall,f1,precision_macro,recall_macro,f1_macro
0,cora,0.8505535055350554,0.8503636397877373,0.8505535055350554,0.850091977259995,0.8280639872304353,0.8308710436893799,0.8289755744340125
1,citeseer,0.7642642642642643,0.7616876583043878,0.7642642642642643,0.7622083196210067,0.7379073924243346,0.7366794993415685,0.7363864453173076
2,pubmed,0.8932555780933062,0.8934970911251938,0.8932555780933062,0.8932754194090201,0.8871215568917329,0.8902778733497444,0.8886010274595812
3,amazon_cs,0.8229734641948382,0.8222668418446643,0.8229734641948382,0.8219238713741293,0.8153467576531369,0.7802030555690108,0.7954646640074362
4,dblp,0.7863995485327314,0.7883242279203359,0.7863995485327314,0.7872786576350135,0.7240434316997475,0.7289039190322397,0.7263963775082266
5,twitch,0.5511921458625526,0.550296283309958,0.5511921458625526,0.5506914527952178,0.545625,0.5454218352417303,0.5454699393787266
6,uai,0.7833876221498371,0.782552355173936,0.7833876221498371,0.779361961097168,0.6709416359250726,0.6716676687529475,0.6621939868034185
