,datasetName,accuracy,precision,recall,f1,precision_macro,recall_macro,f1_macro
0,cora,0.8523985239852399,0.8534305159674602,0.8523985239852399,0.8519916446009049,0.853071778443631,0.8416043775126967,0.8464193740318139
1,citeseer,0.7387387387387387,0.7352884680015684,0.7387387387387387,0.7278842380322429,0.7259674675264515,0.6964419651034927,0.6960122074129758
2,pubmed,0.8382352941176471,0.8382509680661356,0.8382352941176471,0.8381992977657735,0.8341285266888244,0.8350900514878209,0.8345718652537575
3,dblp,0.8400112866817155,0.8381451216236272,0.8400112866817155,0.8383777477550158,0.7954923069213327,0.78993639726337,0.7918827818572498
4,twitch,0.5834502103786816,0.5784751149626187,0.5834502103786816,0.5773306571292746,0.5752324188432206,0.5709108619592875,0.5693533823577261
