,datasetName,accuracy,precision,recall,f1,precision_macro,recall_macro,f1_macro
0,cora,0.8874538745387454,0.8883437345733639,0.8874538745387454,0.8875709954091384,0.8720992789769754,0.8782747435548793,0.8746965245645841
1,citeseer,0.7387387387387387,0.7352884680015684,0.7387387387387387,0.7278842380322429,0.7259674675264515,0.6964419651034927,0.6960122074129758
2,pubmed,0.8602941176470589,0.8606286130890406,0.8602941176470589,0.8603163961640505,0.8543566844864703,0.8580624314416138,0.8560673820857009
3,dblp,0.8400112866817155,0.8381451216236272,0.8400112866817155,0.8383777477550158,0.7954923069213327,0.78993639726337,0.7918827818572498
4,twitch,0.5946704067321178,0.5903661405219989,0.5946704067321178,0.5893235281171753,0.5873448767398961,0.582830391221374,0.5818173331385059
