,datasetName,accuracy,precision,recall,f1,precision_macro,recall_macro,f1_macro
0,cora,0.8007380073800738,0.7996192585636712,0.8007380073800738,0.7994643788449787,0.7946998696979435,0.7903935057585312,0.7917061979358687
1,citeseer,0.7147147147147147,0.7101579069398437,0.7147147147147147,0.6994973041882261,0.7031177157882867,0.6687534840968593,0.6629272291046455
2,pubmed,0.7743407707910751,0.7764090753459131,0.7743407707910751,0.7737858602456872,0.7721509049090468,0.7790045319772706,0.7741667498557477
3,dblp,0.7948645598194131,0.7910193752367799,0.7948645598194131,0.7888848600920986,0.7536230763137722,0.7051389151940882,0.7226807291328184
4,twitch,0.5715287517531557,0.563238306476039,0.5715287517531557,0.546831779164456,0.5609371562660409,0.5479067270992366,0.5331216727083719
