,datasetName,accuracy,precision,recall,f1,precision_macro,recall_macro,f1_macro
0,cora,0.8487084870848709,0.8493398114308801,0.8487084870848709,0.8486583861027811,0.8282195886599917,0.8306944046332843,0.8289912785090214
1,citeseer,0.7747747747747747,0.7754177112277734,0.7747747747747747,0.7746213011268294,0.7469162086090672,0.7488381967756115,0.7474134139081509
2,pubmed,0.8930020283975659,0.8929755345986847,0.8930020283975659,0.8929753957389978,0.8888756996185231,0.8889104810926373,0.888881758795657
3,amazon_cs,0.8320610687022901,0.8299564333190563,0.8320610687022901,0.8303187873429446,0.8161458411285116,0.7864990228336567,0.7994577315561501
4,dblp,0.7880925507900677,0.7896318139259546,0.7880925507900677,0.7887091852724429,0.730063162147385,0.733234530490105,0.7315422240887326
5,twitch,0.5406732117812062,0.5399472821677428,0.5406732117812062,0.5402783259282911,0.535129749278395,0.5350091444020356,0.5350371136986908
6,uai,0.7899022801302932,0.7880069693352136,0.7899022801302932,0.785567854249841,0.6985726672923179,0.6820397305552189,0.6771099966254431
